Start	Function name
00425300	LevelProp_Draw
00425460	LevelProp_ShadowLevelNewPlantHook
00425550	r_grid_unplantable_1default_6_shadownotmatch_7bowlinglinerighr
00425690	LevelProp_SetSurvivalZombieiTypeList
00425840	LevelProp_SetZombieiTypeList
00425DA0	LevelProp_NewGraves
00425FF0	LevelProp_HammerUpdate
00426580	LevelProp_If_ExistProgressBar
00426620	LevelProp_CreateGrave
004266C0	LevelProp_NewGraveFinalWave
00426850	LevelProp_SpawnWaveAddTask
00426A20	LevelProp_GetThunderCountdown
00426B20	LevelProp_DrawEffect
00426B90	LevelProp_DrawRain
00426E90	LevelProp_DrawThunder
00426F60	LevelProp_NewZomboss
00426FC0	LevelProp_NewPortals
004270A0	LevelProp_UpdatePortal
004273C0	LevelProp_GetTheotherPortal
00427410	LevelProp_GetGridPortal
00427470	LevelProp_ResetPortal
004275E0	LevelProp_UpdatePortalEffect
00427800	LevelProp_GetPortalRowSpawnWeight
00427870	LevelProp_GetRowLeftestPortal
004278E0	LevelProp_GetPortalRowYardLength
00427970	LevelProp_GetRowRightestPortal
004279E0	Plant_If_PortalSeeZombie
00427A60	LevelProp_BejeveledTryUseCard
00427C70	LevelProp_Bejeveled_ResetAllPlant
00427D00	LevelProp_Bejeveled_If_ExistCrater
00427D30	LevelProp_AQNewZombie
00427DD0	LevelProp_AQTryUseCard
00427F60	LevelProp_AQCreateBrain
00428010	LevelProp_AQTryCreateBrain
004280A0	LevelProp_UpdateAQEffect
00428510	LevelProp_AllGridNewWallnut
00428540	LevelProp_NewVases
00428620	LevelProp_SetVasesContain
004286F0	LevelProp_SetVBBuild
00429500	LevelProp_ShowVBInitAdvice
004296A0	LevelProp_If_VBWin
004296F0	LevelProp_UpdateVBEffect
00429760	LevelProp_VBOpenPot
004298E0	LevelProp_VBGetVaseCount
00429930	LevelProp_If_LevelAchievedDorpMoneybag
00429980	LevelProp_LevelEndAddDrop
00429AC0	LevelProp_OpenVase
00429DB0	LevelProp_OpenVases
00429E50	LevelProp_OpenVaser
0042A040	CardTypr_To_ZombieType
0042A0F0	LevelProp_IZNewZombie
0042A210	LevelProp_IZUseCard
0042A530	LevelProp_SetPlantIZMode
0042A660	LevelProp_NewPlantIZ
0042A6C0	LevelProp_NewPlantIZRndGrid
0042A890	LevelProp_SetIZBuild
0042B290	LevelProp_IZ_AdviceEatPlant
0042B340	LevelProp_UpdateIZEffect
0042B530	If_CardTypeZombie
0042B590	Plant_SetColorMethod
0042B690	Plant_DrawIZ
0042B810	LevelProp_If_ZombieSeeBrain
0042B8B0	LevelProp_IZTryAchieve
0042B970	LevelProp_ZombieTryEatBrain
0042B9D0	LevelProp_IZSunflowerDieDropSun
0042BA30	LevelProp_KillBrain
0042BAC0	LevelProp_GetAliveSquirlCount
0042BB10	LevelProp_SquirlInit
0042BCB0	LevelProp_SquirlMove
0042BE10	LevelProp_SquirlDie
0042C1B0	LevelProp_UpdateSquirl
0042C2C0	LevelProp_UpdateSquirlEffect
0042C340	LevelProp_UpdateRainEffect
0042C5C0	LevelProp_UpdateLSEffect
0042C6F0	LevelProp_LSFlagendTask
0042C9B0	LevelProp_UpdateHammerEffect
